strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Tunisia/7899/2020	EPI_ISL_763067		1-Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	1-Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2-Neurodegenerative diseases and psychiatric troubles, LR18SP03, Razi Hospital, University of Tunis El Manar, Tunis, Tunisia. 3- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia	Ilhem Boutiba-Ben Boubaker et al
hCoV-19/Wuhan/HB-WHCM-108/2020	EPI_ISL_454991		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
hCoV-19/Taiwan/TSGH-26/2020	EPI_ISL_447252		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
hCoV-19/Iran/Tehran-09/2020	EPI_ISL_862077		National Influenza Center, Virology Department	National Influenza Center	J Yavarian et al
hCoV-19/Iran/GRC-7/2020	EPI_ISL_2694588		Virology Centre, School of public health, Tehran University of Medical Sciences, Tehran, Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi et al
hCoV-19/NewZealand/20VR0174/2020	EPI_ISL_413490	MZ331872.1	Auckland Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey et al A (https://dx.doi.org/10.1101/2020.03.15.992818)
hCoV-19/Australia/NSW07/2020	EPI_ISL_413214		Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S et al (https://www.nature.com/articles/s41591-020-1000-7)
hCoV-19/Kuwait/KU17/2020	EPI_ISL_416542		Dasman Diabetes Institute	Dasman Diabetes Institute	Fahd Al-Mulla et al
hCoV-19/Lebanon/S5_762/2020	EPI_ISL_450512		Rafik Hariri University Hospital	Rafik Hariri University Hospital	Rita Feghali et al
hCoV-19/Georgia/Tb-82/2020	EPI_ISL_415644		R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Nato Kotaria et al
hCoV-19/Kuwait/KU18/2020	EPI_ISL_416543		Dasman Diabetes Institute	Dasman Diabetes Institute	Fahd Al-Mulla et al
hCoV-19/Iran/Tehran-08/2020	EPI_ISL_862078		National Influenza Center, Virology Department	National Influenza Center	A Nejati et al
hCoV-19/Iran/Qom-907/2020	EPI_ISL_1014677		National Influenza Center, Virology Department	National Influenza Center	NZ Shafiei Jandaghi et al
hCoV-19/Oman/RESP-20-797/2020	EPI_ISL_457701		Oman-NIC	Oman-NIC	Samira Al-Maruqi et al
hCoV-19/Iceland/13/2020	EPI_ISL_417765	OU161584.1	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson et al A (https://dx.doi.org/10.1056/NEJMoa2006100)
hCoV-19/Taiwan/TSGH-01/2020	EPI_ISL_426629		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
hCoV-19/Italy/LAZ-INMI1-cs/2020	EPI_ISL_410546		INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Maria R. Capobianchi et al (https://dx.doi.org/10.1002/jmv.25699)
hCoV-19/NewZealand/CoV002/2020	EPI_ISL_417212		Dunedin Hospital	University of Otago	M.E. Quiñones-Mateu et al
hCoV-19/NewZealand/20VR3167/2020	EPI_ISL_579457	MZ332450.1	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Qatar/QA-WCMQ_FD15506530/2020	EPI_ISL_1713978		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
hCoV-19/Qatar/QA-WCMQ_FD15506545/2020	EPI_ISL_1713993		Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed et al
hCoV-19/SouthKorea/A2/2020	EPI_ISL_485001		University of Ulsan College of Medicine and Asan Medical Center	University of Ulsan College of Medicine and Asan Medical Center	Kuenyoul Park et al
hCoV-19/SouthKorea/KCDC2098/2020	EPI_ISL_497999		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
hCoV-19/SouthKorea/KCDC2111/2020	EPI_ISL_498012		Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al
hCoV-19/Australia/ACT0071/2020	EPI_ISL_498531		ACT Pathology	Schwessinger Lab	Ashley Jones et al
hCoV-19/Australia/VIC426/2020	EPI_ISL_426726		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
hCoV-19/Mongolia/3631/2020	EPI_ISL_1805651		National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center	Naranzul Ts et al
hCoV-19/NewZealand/20VR2108/2020	EPI_ISL_456377	MZ332208.1	MedLab Central Ltd	Institute of Environmental Science and Research (ESR)	Matt Storey et al B
hCoV-19/Spain/AN-ISCIII-201272/2020	EPI_ISL_418243		HOSPITAL UNIVERSITARIO VIRGEN DE LAS NIEVES	Instituto de Salud Carlos III	Iglesias-Caballero et al (https://dx.doi.org/10.1101/2020.04.20.050039)
hCoV-19/NewZealand/20VR1950/2020	EPI_ISL_456320	MZ332097.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al B
hCoV-19/USA/CT-Yale-375/2020	EPI_ISL_594119		Yale COVID-19 Biorepository	Grubaugh Lab - Yale School of Public Health	Joseph Fauver et al
hCoV-19/Ireland/LD-NVRL-20Z16203/2020	EPI_ISL_981262		National Virus Reference Laboratory	Irish Coronavirus Sequencing Consortium - Helixworks	Sachin Chalapati et al
hCoV-19/NewZealand/20VR1900/2020	EPI_ISL_456301	MZ332063.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al B
hCoV-19/Togo/BMC-395-20/2020	EPI_ISL_1443001		Institut National d'hygiène	"Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)"	Mounerou SALOU et al
hCoV-19/Australia/SA0097/2020	EPI_ISL_468039		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Malaysia/UNIMAS-14960/2020	EPI_ISL_718143		Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera et al
hCoV-19/Philippines/PH-RITM-0062/2020	EPI_ISL_3105871		City Health Office - San Juan	Research Institute for Tropical Medicine	Lei Lanna Dancel et al
hCoV-19/Philippines/PGC03/2020	EPI_ISL_434555		National Institutes of Health, University of the Philippines Manila	Philippine Genome Center	Carlo M. Lapid et al
hCoV-19/Pakistan/KP-RMI-01/2020	EPI_ISL_632908	MW242667.1	Genomic Sciences, Rehman Medical Institute	Genomic Sciences, Rehman Medical Institute	Ali et al
hCoV-19/Zambia/ZMB-319/2020	EPI_ISL_2803448		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al
hCoV-19/NewZealand/20CV0306/2020	EPI_ISL_622799		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Philippines/PH-RITM-0020/2020	EPI_ISL_491474		Research Institute for Tropical Medicine	Research Institute for Tropical Medicine	Ma. Angelica Tujan et al
hCoV-19/Philippines/PH-RITM-0070/2020	EPI_ISL_3105877		Las Piñas General Hospital and Satellite Trauma Center	Research Institute for Tropical Medicine	Lei Lanna Dancel et al
hCoV-19/PapuaNewGuinea/3/2020	EPI_ISL_693473		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/8/2020	EPI_ISL_693478		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/2/2020	EPI_ISL_693472		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/12/2020	EPI_ISL_693482		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/18/2020	EPI_ISL_1307643		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/52/2020	EPI_ISL_1322327		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/PapuaNewGuinea/12/2021	EPI_ISL_1322329		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/Malaysia/MGI-MAEPS41/2020	EPI_ISL_582124		Malaysia Genome Institute	Malaysia Genome Institute	Mohd Noor Mat Isa et al
hCoV-19/Madagascar/VIRO-2728/2020	EPI_ISL_677636		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al
hCoV-19/Malaysia/UNIMAS-C012N/2020	EPI_ISL_718156		Ministry of Health Hospitals	Institute of Health and Community Medicine	David Perera et al
hCoV-19/Singapore/335/2020	EPI_ISL_469089		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Singapore/812/2020	EPI_ISL_516812		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Singapore/320/2020	EPI_ISL_475937		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Singapore/700/2020	EPI_ISL_498598		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Singapore/1060/2020	EPI_ISL_583895		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
hCoV-19/England/01/2020	EPI_ISL_407071		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
hCoV-19/Australia/VIC1435/2020	EPI_ISL_561428		Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly et al
hCoV-19/Australia/NSW04/2020	EPI_ISL_417030		Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S et al (https://www.nature.com/articles/s41591-020-1000-7)
hCoV-19/Shanghai/SH0005/2020	EPI_ISL_416319		Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
hCoV-19/env/USA/FL-UF11/2020	EPI_ISL_447900	MT476384.1	Lednicky Laboratory at Emerging Pathogens Institute	University of Florida	Lednicky et al
hCoV-19/Taiwan/TSGH-34/2020	EPI_ISL_447593		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
hCoV-19/Canada/NB_54/2020	EPI_ISL_482471		Dr. Georges-L.-Dumont University Hospital Centre	National Microbiology Laboratory	Anna Majer et al
hCoV-19/Canada/MB-NML-416/2020	EPI_ISL_582252		Cadham Provincial Laboratory	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Uruguay/UY-NYUMC847/2020	EPI_ISL_457943		Laboratorio de Biología Molecular Asociación Española Primera en Salud	Departments of Pathology and Medicine, New York University School of Medicine	Maria Victoria Elizondo et al
hCoV-19/Bolivia/26958/2020	EPI_ISL_837576		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Singapore/383/2020	EPI_ISL_469132		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
hCoV-19/Belgium/GHB-03021/2020	EPI_ISL_407976		KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen et al (https://dx.doi.org/10.1101/2020.05.05.078758)
hCoV-19/NewZealand/20VR2572/2020	EPI_ISL_579303	MZ332287.1	Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Spain/VC-FISABIO-5/2020	EPI_ISL_416484	MT233519.1	Servicio de Microbiología. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Maria Dolores Ocete et al (https://dx.doi.org/10.1101/2020.04.20.050039)
hCoV-19/Venezuela/1Z/2020	EPI_ISL_1577817		INHRR	Laboratorio de Virología Molecular	Loureiro CL et al
hCoV-19/Australia/TAS166/2020	EPI_ISL_522621		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
hCoV-19/Australia/TAS232/2020	EPI_ISL_522661		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al
hCoV-19/Australia/WA39/2020	EPI_ISL_470856		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
hCoV-19/NewZealand/20VR2038/2020	EPI_ISL_456343	MZ332157.1	Wellington SCL	Institute of Environmental Science and Research (ESR)	Matt Storey et al B
hCoV-19/NewZealand/20CV0274/2020	EPI_ISL_579067		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Xiaoyun Ren et al
hCoV-19/Australia/NSW2247/2020	EPI_ISL_500686		Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Rawlinson et al
hCoV-19/Panama/GMI-PA342605/2020	EPI_ISL_1225338		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/Panama/GMI-PA369167/2020	EPI_ISL_1225453		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al
hCoV-19/EquatorialGuinea/253/2020	EPI_ISL_648318		Laboratorio de Investigaciones de Baney	University Hospital Basel, Clinical Bacteriology	Carlos Cortes et al
hCoV-19/Kazakhstan/18243/2020	EPI_ISL_454500		RSE "National Center for Biotechnology"	RSE "National Center for Biotechnology"	Alexandr Shevtsov et al
hCoV-19/Vietnam/HCMC-35016/2020	EPI_ISL_450741		OUCRU/HTD	OUCRU/HTD	Nguyen Van Vinh Chau et al
hCoV-19/CostaRica/HNN-0454/2021	EPI_ISL_1811224		AS Barva	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Pérez-Corrales C et al
hCoV-19/Australia/QLD1532/2021	EPI_ISL_944743		Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Public Health Virology-Forensic and Scientific Services (PHV-FSS)	Son Nguyen et al
hCoV-19/Venezuela/LaG1401/2021	EPI_ISL_3298766		IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/CostaRica/INC-0811/2021	EPI_ISL_3037842		HOSPITAL LA ANEXION [NICOYA/GUANACASTE]	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/HNN-0465/2021	EPI_ISL_1811235		HNN	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Pérez-Corrales C et al
hCoV-19/USA/RI-CDC-LC0040165/2021	EPI_ISL_1680580	MZ035990.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Guatemala/839/2021	EPI_ISL_3275216		Laboratorio Nacional de Salud, Ministerio de Salud Publica y Asistencia Social	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	César Roberto Conde Pereira et al
hCoV-19/Ecuador/USFQ-1316/2021	EPI_ISL_2100432		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Monica Becerra-Wong et al
hCoV-19/Ecuador/NIC-INSPI-317748/2021	EPI_ISL_2348770		Instituto Nacional De Investigación En Salud Pública-Crn De Influenza Y Otros Virus Respiratorios	NIC-Instituto Nacional de Investigación en Salud Pública	Alfredo Bruno et al
hCoV-19/CostaRica/INC-0665/2021	EPI_ISL_2502761		HOSPITAL SAN JUAN DE DIOS	Inciensa, Instituto Costarricense de InvestigaciOn y Enseñanza en NutriciOn y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0476/2021	EPI_ISL_1827507		CENTRO PENAL LUIS PAULINO MORA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/CostaRica/INC-0778/2021	EPI_ISL_3037812		AREA DE SALUD BAGACES	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Mexico/VER-InDRE_FB16306_S3829/2021	EPI_ISL_2835047		LESP Veracruz	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/CostaRica/INC-0571/2021	EPI_ISL_2272958		AREA DE SALUD SIQUIRRES	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Mexico/SON-InDRE_FB16066_S2604/2021	EPI_ISL_2479907		LESP Sonora	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Guatemala/2009/2021	EPI_ISL_3275222		Laboratorio Nacional de Salud, Ministerio de Salud Publica y Asistencia Social	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	César Roberto Conde Pereira et al
hCoV-19/ElSalvador/Gorgas-84/2021	EPI_ISL_3275292		Laboratorio de Vigilancia en Salud Pública el Salvador	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Ruth C Vasquez C et al
hCoV-19/Honduras/CM-USAFSAM-S4221/2021	EPI_ISL_3375857		US Air Force School of Aerospace Medicine	US Air Force School of Aerospace Medicine	Anthony Fries et al
hCoV-19/CostaRica/INC-0766/2021	EPI_ISL_3037799		AREA DE SALUD TALAMANCA	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Guatemala/2267/2021	EPI_ISL_3275236		Laboratorio Nacional de Salud, Ministerio de Salud Publica y Asistencia Social	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	César Roberto Conde Pereira et al
hCoV-19/Ghana/UHAS-G541/2020	EPI_ISL_648125		UHAS COVID-19 Lab	UHAS COVID-19 Lab	Kwabena O. Duedu et al
hCoV-19/Australia/QLD02/2020	EPI_ISL_407896		Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al
hCoV-19/Oman/52178/2021	EPI_ISL_2925610		Oman-NIC	Oman-National Influenza Center	Samiha Al Kharusi et al
hCoV-19/Egypt/ARMY-310/2021	EPI_ISL_1936249		Main Chemical Laboratories Egypt Army	Main Chemical Laboratories Egypt Army	Mohamed Seadawy et al
hCoV-19/Egypt/ARMY-319/2021	EPI_ISL_1936258		Main Chemical Laboratories Egypt Army	Main Chemical Laboratories Egypt Army	Mohamed Seadawy et al
hCoV-19/Bahrain/341509978/2021	EPI_ISL_2715288	MZ425478.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/Ghana/2573_S27/2020	EPI_ISL_515082	MT890227.1	Department of Biochemistry, Cell and Molecular Biology	WACCBIP, University of Ghana	Ngoi et al
hCoV-19/Togo/BMC-529-20/2020	EPI_ISL_1321604		Institut National d’Hygiène (INH)	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier)IRD (Institut de recherche pour le développement)	Mounerou SALOU et al
hCoV-19/Nigeria/BO-CV330/2020	EPI_ISL_729999		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A
hCoV-19/Nigeria/BO-CV331/2020	EPI_ISL_730000		Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al A
hCoV-19/Benin/249839/2021	EPI_ISL_2932537		Laboratoire des Fièvres Hémorragiques Virales du Benin	Institut für Virologie - Institute of Virology - Charite	Anna-Lena Sander et al
hCoV-19/Luxembourg/LNS0021152/2021	EPI_ISL_1384133		Hospital Center Luxembourg	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino et al
hCoV-19/Tunisia/14670/2021	EPI_ISL_1208403		1-Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	1-Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2-Neurodegenerative diseases and psychiatric troubles, LR18SP03, Razi Hospital, University of Tunis El Manar, Tunis, Tunisia. 3- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia	Sameh Trabelsi et al
hCoV-19/Coted-Ivoire/BKE0213/2020	EPI_ISL_614363		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al
